,Karisuma 14,SMASHADELPHIA 2017,ALPHA,Midwest Mayhem 9,Umebura 27,UNLOCKED,Albion 2,TGL Presents: Divided,2GGC: Arms Saga,Evo 2017,DreamHack Atlanta 2017,Get On My Level 2017,IGX - International Gaming Expo,Low Tier City 5,Smash Factor 6,Sumabato 19,Umebura 28,Super Smash Con 2017,2GGC: SCR Saga,Dubai Dojo 2,Shine 2017,PAX Arena at PAX West 2017,2GGC: West Side Saga,DreamHack Montreal 2017,Showdown: Battle Royale 2,Sumabato 20,Syndicate 2017,GameTyrant Expo 2017,The Big House 7,2GGC: Fire Emblem Saga,Sumabato 21,DreamHack Denver 2017,Who's Your Pappy #10,Umebura 29,Canada Cup 2017,Clutch City Clash 2,TGL & PG Present: Too Hot to Handle,2GGC: MkLeo Saga,GatorLAN Fall 2017,Port Priority 2: Midwest Invasion,IBP Masters Showdown,Sumabato 22,Umebura 30,Super FamiCon 2017,Tech Republic III,Midwest Mayhem 10,Rikabura 8,2GGC: Last Chance Qualifier,2GG Championship
JK,,,,,,,,,,9th,,,,,,,,33rd,33rd,,17th,,25th,,,,,13th,,49th,,,,,,2nd,,25th,,,,,,,,,,,
Choco,,,,,3rd,,,,,,,,,,,,3rd,,,,,,,,,,,,,,7th,,,1st,,,,,,,,,1st,,,,,,
FOW,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K9sbruce,,,,,,,,,17th,49th,33rd,,,,,,,,33rd,,,,,,,,,,,49th,,,,,,,,13th,,,17th,,,,,,,5th,
Shoyo James,,5th,,,,,,,,,,,,,,,,7th,,,25th,,,,7th,,,,,,,,,,,,,,,,,,,,,,,,
Trela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4th,,,,,,,,,,,,,
Tyrant,,,,,,,,,,,,,,,,,,,33rd,,,,25th,,,,,25th,,13th,,,1st,,,,,33rd,,,25th,,,,,,,,
Wrath,,,,,,,,,,17th,17th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9th,,,,,
Mistake,,,,,,,,,,17th,,3rd,,3rd,,,,5th,4th,,9th,,,3rd,5th,,,25th,25th,13th,,,,,9th,,,33rd,,,,,,,,,,7th,
Cosmos,,,,7th,,,,,9th,33rd,25th,,,,,,,25th,,,9th,,,,4th,,,33rd,3rd,17th,,7th,,,,,,49th,,,,,,,,5th,,2nd,
Lima,,,,,,,,,13th,9th,,,,5th,,,,,17th,,,,13th,,,,,33rd,,,,,,,2nd,,,7th,,,,,,,,,,,
False,,,,,,,,,,9th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinnie,,,,,,,,,13th,,9th,,,,,,,,,,,,,,,,,,,25th,,,5th,,,,,,,,,,,,,,,,
Charliedaking,,,,,,,,,5th,33rd,,,,,,,,,17th,,,,7th,,,,,9th,,33rd,,,7th,,,,,33rd,,,13th,,,,,,,,
tyroy,,,,5th,,,,,,33rd,,,,,,,,33rd,,,17th,,,,9th,,,,17th,,,,,,,,,,,,,,,,,5th,,,
Konga,,,,,,,,,,33rd,,,3rd,,,,,,,,,5th,25th,,,,,,,,,,,,,,,,,2nd,,,,,,,,,
Light,,5th,5th,,,,,,,,,,,,,,,25th,,,9th,,,,,,,,17th,,,,,,,,,,,,,,,5th,,,,,
DarkShad,,,,9th,,,,,,,,,,,,,,13th,,,,,,,13th,,,7th,49th,,,,,,,,,,,,,,,13th,,,,,
Zenyou,,,,,,,,,,33rd,,,,,,,,,13th,,,,17th,,,,,13th,,25th,,,,,,,,33rd,,,13th,,,,,,,,
Ryuga,,,,9th,,,,,,49th,33rd,,,,,,,25th,,,,,,,13th,,,,25th,17th,,,,,,,,,,,,,,,,,,,
dyr,,,,,,,,4th,,,,,,,,,,9th,,,,,,,9th,,,,17th,,,,,,,,5th,,,,,,,,,13th,,,
IxisNaugus,,,,,,,4th,,,33rd,,,,,,,,,,,,,,,,,13th,,,,,,,,,,,,,,,,,,1st,,,,
SuperGirlKels,,,,,,,,,,,,5th,,,,,,33rd,,,,,,7th,,,,,,,,,,,7th,,,,,,,,,,,,,,
Luhtie,,,,,,,,,,33rd,,,,,,,,25th,25th,,,,25th,,,,,,,,,,,,,,,33rd,,,,,,,,,,,
Gluttony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peli,,,,,,,13th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lazyboredom,,,,,,,,,17th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
